date,year,month,day,rainfall_mm
1901-01-01,1901,1,1,0.3772220518433902
1901-01-02,1901,1,2,0.3194870526678535
1901-01-03,1901,1,3,0.027732651556238466
1901-01-04,1901,1,4,1.8647131849414973
1901-01-05,1901,1,5,0.17442042243201486
1901-01-06,1901,1,6,0.06866053137741474
1901-01-07,1901,1,7,0.13579016147792977
1901-01-08,1901,1,8,0.38320643712370933
1901-01-09,1901,1,9,0.10758042367059016
1901-01-10,1901,1,10,0.9931175181627596
1901-01-11,1901,1,11,0.5169435463163298
1901-01-12,1901,1,12,0.33965619869114866
1901-01-13,1901,1,13,0.26651070613244887
1901-01-14,1901,1,14,0.007535995778991438
1901-01-15,1901,1,15,0.2090825185356976
1901-01-16,1901,1,16,0.14934283719622626
1901-01-17,1901,1,17,0.5670903608104785
1901-01-18,1901,1,18,0.7062487047529931
1901-01-19,1901,1,19,0.2579036375100218
1901-01-20,1901,1,20,0.2818316883147826
1901-01-21,1901,1,21,0.281663511784283
1901-01-22,1901,1,22,1.7291092345311072
1901-01-23,1901,1,23,1.2331426037653677
1901-01-24,1901,1,24,1.162285158520428
1901-01-25,1901,1,25,0.580275656021778
1901-01-26,1901,1,26,1.0037711849580928
1901-01-27,1901,1,27,0.666601763512865
1901-01-28,1901,1,28,0.02967287720387634
1901-01-29,1901,1,29,0.8026786544221172
1901-01-30,1901,1,30,0.09555909303837173
1901-01-31,1901,1,31,1.0506232856372875
1901-02-01,1901,2,1,0.22225704440377617
1901-02-02,1901,2,2,1.6089528002712201
1901-02-03,1901,2,3,0.3911001874512818
1901-02-04,1901,2,4,0.02652521401339141
1901-02-05,1901,2,5,0.6809395644549405
1901-02-06,1901,2,6,0.1057069697278509
1901-02-07,1901,2,7,0.22280688886198932
1901-02-08,1901,2,8,0.6913658773675033
1901-02-09,1901,2,9,0.6351323429463828
1901-02-10,1901,2,10,0.1622244508309514
1901-02-11,1901,2,11,0.5778375780883548
1901-02-12,1901,2,12,0.6567819811729356
1901-02-13,1901,2,13,0.25235506197165025
1901-02-14,1901,2,14,0.06284655936723607
1901-02-15,1901,2,15,2.7892552912456003
1901-02-16,1901,2,16,0.1803706603280804
1901-02-17,1901,2,17,1.0933170074227352
1901-02-18,1901,2,18,0.26843778319710226
1901-02-19,1901,2,19,0.3792770635088579
1901-02-20,1901,2,20,0.6392063481826764
1901-02-21,1901,2,21,0.27777863633552186
1901-02-22,1901,2,22,0.42943646246911776
1901-02-23,1901,2,23,1.0499092760977422
1901-02-24,1901,2,24,1.492207900540575
1901-02-25,1901,2,25,1.0510694901007722
1901-02-26,1901,2,26,1.493989069646716
1901-02-27,1901,2,27,0.3925784669654328
1901-02-28,1901,2,28,0.8278121021099053
1901-03-01,1901,3,1,5.319249669472256
1901-03-02,1901,3,2,1.768573482472784
1901-03-03,1901,3,3,3.1133496866302774
1901-03-04,1901,3,4,0.304971788756808
1901-03-05,1901,3,5,4.7226849231562875
1901-03-06,1901,3,6,2.5262001346923206
1901-03-07,1901,3,7,5.105258211980281
1901-03-08,1901,3,8,0.781341739208828
1901-03-09,1901,3,9,9.872815742179316
1901-03-10,1901,3,10,0.3546458510868904
1901-03-11,1901,3,11,1.7987415962884534
1901-03-12,1901,3,12,3.2759527893164053
1901-03-13,1901,3,13,10.422116471685221
1901-03-14,1901,3,14,1.5142580881355179
1901-03-15,1901,3,15,0.19665511165504418
1901-03-16,1901,3,16,0.8618395467825133
1901-03-17,1901,3,17,2.625429087394164
1901-03-18,1901,3,18,0.2988789416247146
1901-03-19,1901,3,19,18.92099655929164
1901-03-20,1901,3,20,2.9674146699451667
1901-03-21,1901,3,21,4.120295075485462
1901-03-22,1901,3,22,1.5000403448361395
1901-03-23,1901,3,23,0.590856531634739
1901-03-24,1901,3,24,0.9763555154303079
1901-03-25,1901,3,25,1.883786668578709
1901-03-26,1901,3,26,6.906010368502871
1901-03-27,1901,3,27,0.3455815315022118
1901-03-28,1901,3,28,9.305177756699138
1901-03-29,1901,3,29,7.23946501775584
1901-03-30,1901,3,30,7.719480802717978
1901-03-31,1901,3,31,1.0866144218480007
1901-04-01,1901,4,1,0.26906284785445156
1901-04-02,1901,4,2,5.622370621683443
1901-04-03,1901,4,3,0.4978758216185117
1901-04-04,1901,4,4,0.6894047580926554
1901-04-05,1901,4,5,0.6499714480403359
1901-04-06,1901,4,6,1.7330633629473513
1901-04-07,1901,4,7,4.823106378313879
1901-04-08,1901,4,8,7.082606339483068
1901-04-09,1901,4,9,1.446855373427837
1901-04-10,1901,4,10,4.730519328447715
1901-04-11,1901,4,11,6.478585427939582
1901-04-12,1901,4,12,0.6913557120199494
1901-04-13,1901,4,13,3.1075151941670107
1901-04-14,1901,4,14,0.6440063725853129
1901-04-15,1901,4,15,2.7657505761240557
1901-04-16,1901,4,16,1.052623276987482
1901-04-17,1901,4,17,4.506566010833315
1901-04-18,1901,4,18,1.8419381116346805
1901-04-19,1901,4,19,6.083392035941204
1901-04-20,1901,4,20,6.6727678280925975
1901-04-21,1901,4,21,8.559303279878826
1901-04-22,1901,4,22,0.5691407077940411
1901-04-23,1901,4,23,2.056515623876682
1901-04-24,1901,4,24,1.2153926072865588
1901-04-25,1901,4,25,0.16966428877660797
1901-04-26,1901,4,26,2.3064485521189946
1901-04-27,1901,4,27,11.211765889980182
1901-04-28,1901,4,28,1.155608530432772
1901-04-29,1901,4,29,12.10559157277622
1901-04-30,1901,4,30,0.6073449396362455
1901-05-01,1901,5,1,1.2674739827340575
1901-05-02,1901,5,2,1.1919139887407915
1901-05-03,1901,5,3,1.1420120988885714
1901-05-04,1901,5,4,0.1901812938151612
1901-05-05,1901,5,5,2.8908857020707672
1901-05-06,1901,5,6,3.657106768505884
1901-05-07,1901,5,7,1.0605846741586438
1901-05-08,1901,5,8,0.7015416026815442
1901-05-09,1901,5,9,4.225584914685878
1901-05-10,1901,5,10,13.462136455595576
1901-05-11,1901,5,11,9.250889513315142
1901-05-12,1901,5,12,1.0731899623251477
1901-05-13,1901,5,13,11.547912057096623
1901-05-14,1901,5,14,4.210124755243282
1901-05-15,1901,5,15,2.2727181340182137
1901-05-16,1901,5,16,1.1645914923604914
1901-05-17,1901,5,17,0.2743908672339302
1901-05-18,1901,5,18,2.0487593290868786
1901-05-19,1901,5,19,1.6794431934813763
1901-05-20,1901,5,20,2.4332922441865743
